図鑑No.	ポケモン名	タイプ	進化	とくい	睡眠タイプ	おてつだい時間	食材確率	スキル確率	メインスキル	食材1	食材2	食材3	最大所持数
1	フシギダネ	くさ	1	食材	うとうと	4400	25.7	1.9	食材ゲットS	あまいミツ	あんみんトマト	ほっこりポテト	11
2	フシギソウ	くさ	2	食材	うとうと	3300	25.5	1.9	食材ゲットS	あまいミツ	あんみんトマト	ほっこりポテト	19
3	フシギバナ	くさ	3	食材	うとうと	2800	26.6	2.1	食材ゲットS	あまいミツ	あんみんトマト	ほっこりポテト	27
4	ヒトカゲ	ほのお	1	食材	すやすや	3500	20.1	1.1	食材ゲットS	マメミート	あったかジンジャー	げきからハーブ	12
5	リザード	ほのお	2	食材	すやすや	3000	22.7	1.6	食材ゲットS	マメミート	あったかジンジャー	げきからハーブ	20
6	リザードン	ほのお	3	食材	すやすや	2400	22.4	1.6	食材ゲットS	マメミート	あったかジンジャー	げきからハーブ	29
7	ゼニガメ	みず	1	食材	ぐっすり	4500	27.1	2.0	食材ゲットS	モーモーミルク	リラックスカカオ	マメミート	10
8	カメール	みず	2	食材	ぐっすり	3400	27.1	2.0	食材ゲットS	モーモーミルク	リラックスカカオ	マメミート	19
9	カメックス	みず	3	食材	ぐっすり	2800	27.5	2.1	食材ゲットS	モーモーミルク	リラックスカカオ	マメミート	27
10	キャタピー	むし	1	きのみ	うとうと	4400	17.9	0.8	食材ゲットS	あまいミツ	あんみんトマト	ワカクサ大豆	11
11	トランセル	むし	2	きのみ	うとうと	4200	20.8	1.8	食材ゲットS	あまいミツ	あんみんトマト	ワカクサ大豆	18
12	バタフリー	むし	3	きのみ	うとうと	2500	19.7	1.4	食材ゲットS	あまいミツ	あんみんトマト	ワカクサ大豆	31
19	コラッタ	ノーマル	1	きのみ	すやすや	4900	23.7	3.0	げんきチャージS	とくせんリンゴ	ワカクサ大豆	マメミート	10
20	ラッタ	ノーマル	3	きのみ	すやすや	2950	23.7	3.0	げんきチャージS	とくせんリンゴ	ワカクサ大豆	マメミート	21
23	アーボ	どく	1	食材	うとうと	5000	23.5	3.3	げんきチャージS	マメミート	とくせんエッグ	げきからハーブ	10
24	アーボック	どく	3	食材	うとうと	3400	26.4	5.7	げんきチャージS	マメミート	とくせんエッグ	げきからハーブ	19
25	ピカチュウ	でんき	2	きのみ	すやすや	2700	20.7	2.1	エナジーチャージS（固定）	とくせんリンゴ	あったかジンジャー	とくせんエッグ	22
26	ライチュウ	でんき	3	きのみ	すやすや	2200	22.4	3.2	エナジーチャージS（固定）	とくせんリンゴ	あったかジンジャー	とくせんエッグ	31
35	ピッピ	フェアリー	2	きのみ	すやすや	4000	16.8	3.6	ゆびをふる	とくせんリンゴ	あまいミツ	ワカクサ大豆	21
36	ピクシー	フェアリー	3	きのみ	すやすや	2800	16.8	3.6	ゆびをふる	とくせんリンゴ	あまいミツ	ワカクサ大豆	34
37	ロコン	ほのお	1	きのみ	すやすや	4700	16.8	3.2	げんきエールS	ワカクサ大豆	ワカクサコーン	ほっこりポテト	13
38	キュウコン	ほのお	3	きのみ	すやすや	2600	16.4	2.9	げんきエールS	ワカクサ大豆	ワカクサコーン	ほっこりポテト	28
39	プリン	フェアリー	2	スキル	すやすや	3900	18.2	4.3	げんきオールS	あまいミツ	ピュアなオイル	リラックスカカオ	14
40	プクリン	フェアリー	3	スキル	すやすや	2900	17.4	4.0	げんきオールS	あまいミツ	ピュアなオイル	リラックスカカオ	23
50	ディグダ	じめん	1	食材	すやすや	4300	19.2	2.1	エナジーチャージS（固定）	あんみんトマト	ふといながねぎ	ワカクサ大豆	10
51	ダグトリオ	じめん	3	食材	すやすや	2650	19.0	2.0	エナジーチャージS（固定）	あんみんトマト	ふといながねぎ	ワカクサ大豆	21
52	ニャース	ノーマル	1	スキル	すやすや	4400	16.3	4.2	ゆめのかけらゲットS（固定）	モーモーミルク	マメミート		9
53	ペルシアン	ノーマル	3	スキル	すやすや	2800	16.9	4.4	ゆめのかけらゲットS（固定）	モーモーミルク	マメミート		17
54	コダック	みず	1	スキル	うとうと	5400	13.6	12.6	エナジーチャージS（ランダム）	リラックスカカオ	とくせんリンゴ	マメミート	8
55	ゴルダック	みず	3	スキル	ぐっすり	3400	16.2	12.5	エナジーチャージS（ランダム）	リラックスカカオ	とくせんリンゴ	マメミート	19
