ゆめのかけら


レベル　アメ1個あたりのかけら消費量
2	14
3	18
4	22
5	27
6	30
7	34
8	39
9	44
10	48
11	50
12	52
13	53
14	56
15	59
16	62
17	66
18	68
19	71
20	74
21	78
22	81
23	85
24	88
25	92
26	95
27	100
28	105
29	111
30	117
31	122
32	126
33	130
34	136
35	143
36	151
37	160
38	167
39	174
40	184
41	192
42	201
43	211
44	221
45	227
46	236
47	250
48	264
49	279
50	295
51	309
52	323	
53	338	
54	356	
55	372	
56	391	
57	437	
58	486	
59	538	
60	593	
61	651	
62	698	
63	750	
64	804	
65	866	
