スキル名	リンク
エナジーチャージS（固定）	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%82%A8%E3%83%8A%E3%82%B8%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%E3%82%B8
エナジーチャージS（ランダム）	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%82%A8%E3%83%8A%E3%82%B8%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%E3%82%B8
たくわえる	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%82%A8%E3%83%8A%E3%82%B8%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%E3%82%B8/%E3%81%9F%E3%81%8F%E3%82%8F%E3%81%88%E3%82%8B
エナジーチャージM	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%82%A8%E3%83%8A%E3%82%B8%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%E3%82%B8
ナイトメア	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%82%A8%E3%83%8A%E3%82%B8%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%E3%82%B8/%E3%83%8A%E3%82%A4%E3%83%88%E3%83%A1%E3%82%A2
ゆめのかけらゲットS（固定）	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%82%86%E3%82%81%E3%81%AE%E3%81%8B%E3%81%91%E3%82%89%E3%82%B2%E3%83%83%E3%83%88
ゆめのかけらゲットS（ランダム）	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%82%86%E3%82%81%E3%81%AE%E3%81%8B%E3%81%91%E3%82%89%E3%82%B2%E3%83%83%E3%83%88
げんきエールS	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%81%92%E3%82%93%E3%81%8D%E3%82%A8%E3%83%BC%E3%83%AB
ほっぺすりすり	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%81%92%E3%82%93%E3%81%8D%E3%82%A8%E3%83%BC%E3%83%AB/%E3%81%BB%E3%81%A3%E3%81%BA%E3%81%99%E3%82%8A%E3%81%99%E3%82%8A
げんきチャージS	https://wikiwiki.jp/poke_sleep/%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%B9%E3%82%AD%E3%83%AB/%E3%81%92%E3%82%93%E3%81%8D%E3%83%81%E3%83%A3%E3%83%BC%E3%82%B8
