ポケモンのタイプ	タイプアイコン	きのみアイコン
あく	あくタイプ.png	wikiberry.png
いわ	いわタイプ.png	sitrusberry.png
かくとう	かくとうタイプ.png	cheriberry.png
くさ	くさタイプ.png	durinberry.png
こおり	こおりタイプ.png	rawstberry.png
じめん	じめんタイプ.png	figyberry.png
でんき	でんきタイプ.png	grepaberry.png
どく	どくタイプ.png	chestoberry.png
はがね	はがねタイプ.png	belueberry.png
ひこう	ひこうタイプ.png	pamtreberry.png
ほのお	ほのおタイプ.png	leppaberry.png
みず	みずタイプ.png	oranberry.png
むし	むしタイプ.png	lumberry.png
エスパー	エスパータイプ.png	magoberry.png
ゴースト	ゴーストタイプ.png	blukberry.png
ドラゴン	ドラゴンタイプ.png	yacheberry.png
ノーマル	ノーマルタイプ.png	persimberry.png
フェアリー	フェアリータイプ.png	pechaberry.png
